fecha,prediccion_demanda,llave
2024-01-01,7.0,251388473AN9087
2024-01-08,7.0,251388473AN9087
2024-01-15,8.0,251388473AN9087
2024-01-22,8.0,251388473AN9087
2024-01-29,8.0,251388473AN9087
2024-02-05,8.0,251388473AN9087
2024-02-12,8.0,251388473AN9087
2024-02-19,9.0,251388473AN9087
2024-02-26,9.0,251388473AN9087
2024-03-04,9.0,251388473AN9087
2024-03-11,9.0,251388473AN9087
2024-03-18,9.0,251388473AN9087
2024-03-25,10.0,251388473AN9087
2024-04-01,10.0,251388473AN9087
2024-04-08,10.0,251388473AN9087
2024-04-15,10.0,251388473AN9087
2024-04-22,10.0,251388473AN9087
2024-04-29,11.0,251388473AN9087
2024-05-06,11.0,251388473AN9087
2024-05-13,11.0,251388473AN9087
2024-05-20,11.0,251388473AN9087
2024-05-27,11.0,251388473AN9087
2024-06-03,11.0,251388473AN9087
2024-06-10,12.0,251388473AN9087
2024-06-17,12.0,251388473AN9087
2024-06-24,12.0,251388473AN9087
2024-07-01,12.0,251388473AN9087
2024-07-08,12.0,251388473AN9087
2024-07-15,13.0,251388473AN9087
2024-07-22,13.0,251388473AN9087
2024-07-29,13.0,251388473AN9087
2024-08-05,13.0,251388473AN9087
2024-08-12,13.0,251388473AN9087
2024-08-19,14.0,251388473AN9087
2024-08-26,14.0,251388473AN9087
2024-09-02,14.0,251388473AN9087
2024-09-09,14.0,251388473AN9087
2024-09-16,14.0,251388473AN9087
2024-09-23,15.0,251388473AN9087
2024-09-30,15.0,251388473AN9087
2024-10-07,15.0,251388473AN9087
2024-10-14,15.0,251388473AN9087
2024-10-21,15.0,251388473AN9087
2024-10-28,16.0,251388473AN9087
2024-11-04,16.0,251388473AN9087
2024-11-11,16.0,251388473AN9087
2024-11-18,16.0,251388473AN9087
2024-11-25,16.0,251388473AN9087
2024-12-02,17.0,251388473AN9087
2024-12-09,17.0,251388473AN9087
2024-12-16,17.0,251388473AN9087
2024-12-23,17.0,251388473AN9087
2024-12-30,17.0,251388473AN9087
2024-01-01,2.0,248AI6PT7T10
2024-01-08,0.0,248AI6PT7T10
2024-01-15,0.0,248AI6PT7T10
2024-01-22,5.0,248AI6PT7T10
2024-01-29,8.0,248AI6PT7T10
2024-02-05,6.0,248AI6PT7T10
2024-02-12,3.0,248AI6PT7T10
2024-02-19,2.0,248AI6PT7T10
2024-02-26,3.0,248AI6PT7T10
2024-03-04,2.0,248AI6PT7T10
2024-03-11,0.0,248AI6PT7T10
2024-03-18,6.0,248AI6PT7T10
2024-03-25,16.0,248AI6PT7T10
2024-04-01,18.0,248AI6PT7T10
2024-04-08,3.0,248AI6PT7T10
2024-04-15,0.0,248AI6PT7T10
2024-04-22,0.0,248AI6PT7T10
2024-04-29,25.0,248AI6PT7T10
2024-05-06,65.0,248AI6PT7T10
2024-05-13,69.0,248AI6PT7T10
2024-05-20,27.0,248AI6PT7T10
2024-05-27,0.0,248AI6PT7T10
2024-06-03,0.0,248AI6PT7T10
2024-06-10,0.0,248AI6PT7T10
2024-06-17,50.0,248AI6PT7T10
2024-06-24,70.0,248AI6PT7T10
2024-07-01,47.0,248AI6PT7T10
2024-07-08,11.0,248AI6PT7T10
2024-07-15,0.0,248AI6PT7T10
2024-07-22,0.0,248AI6PT7T10
2024-07-29,2.0,248AI6PT7T10
2024-08-05,2.0,248AI6PT7T10
2024-08-12,2.0,248AI6PT7T10
2024-08-19,3.0,248AI6PT7T10
2024-08-26,0.0,248AI6PT7T10
2024-09-02,0.0,248AI6PT7T10
2024-09-09,0.0,248AI6PT7T10
2024-09-16,0.0,248AI6PT7T10
2024-09-23,6.0,248AI6PT7T10
2024-09-30,80.0,248AI6PT7T10
2024-10-07,104.0,248AI6PT7T10
2024-10-14,50.0,248AI6PT7T10
2024-10-21,0.0,248AI6PT7T10
2024-10-28,0.0,248AI6PT7T10
2024-11-04,0.0,248AI6PT7T10
2024-11-11,81.0,248AI6PT7T10
2024-11-18,154.0,248AI6PT7T10
2024-11-25,152.0,248AI6PT7T10
2024-12-02,93.0,248AI6PT7T10
2024-12-09,32.0,248AI6PT7T10
2024-12-16,0.0,248AI6PT7T10
2024-12-23,0.0,248AI6PT7T10
2024-12-30,2.0,248AI6PT7T10
2024-01-01,0.0,248BH4PZ6T04
2024-01-08,0.0,248BH4PZ6T04
2024-01-15,0.0,248BH4PZ6T04
2024-01-22,0.0,248BH4PZ6T04
2024-01-29,0.0,248BH4PZ6T04
2024-02-05,0.0,248BH4PZ6T04
2024-02-12,0.0,248BH4PZ6T04
2024-02-19,0.0,248BH4PZ6T04
2024-02-26,0.0,248BH4PZ6T04
2024-03-04,47.0,248BH4PZ6T04
2024-03-11,132.0,248BH4PZ6T04
2024-03-18,193.0,248BH4PZ6T04
2024-03-25,153.0,248BH4PZ6T04
2024-04-01,19.0,248BH4PZ6T04
2024-04-08,0.0,248BH4PZ6T04
2024-04-15,0.0,248BH4PZ6T04
2024-04-22,0.0,248BH4PZ6T04
2024-04-29,70.0,248BH4PZ6T04
2024-05-06,53.0,248BH4PZ6T04
2024-05-13,0.0,248BH4PZ6T04
2024-05-20,0.0,248BH4PZ6T04
2024-05-27,0.0,248BH4PZ6T04
2024-06-03,36.0,248BH4PZ6T04
2024-06-10,49.0,248BH4PZ6T04
2024-06-17,0.0,248BH4PZ6T04
2024-06-24,0.0,248BH4PZ6T04
